requests_count,lcf,dfs
14,12.424675324675325,11.902597402597403
22,15.818858560794045,14.839950372208436
9,8.801013941698352,8.67680608365019
18,14.578144853875477,13.70266836086404
7,6.9709379128137385,6.92338177014531
16,13.61656050955414,12.905732484076433
2,2.0,2.0
13,11.844262295081966,11.385245901639344
1,1.0,1.0
26,16.55851063829787,15.632978723404255
24,16.085561497326204,15.128342245989305
21,15.408114558472553,14.466587112171839
10,9.597989949748744,9.375628140703517
25,16.448366013071894,15.47843137254902
3,3.0,3.0
15,13.083009079118028,12.425421530479897
17,14.052356020942408,13.263089005235603
6,5.996354799513973,5.991494532199271
8,7.915745856353591,7.834254143646409
23,16.019710906701707,15.053876478318003
4,4.0,4.0
20,15.222222222222221,14.290196078431373
11,10.445187165775401,10.151069518716577
5,5.0,5.0
19,14.878080415045396,14.010376134889754
12,11.133064516129032,10.766129032258064
